Category,Product,Price,Description
Starters (Veg),Paneer Tikka,280,"Paneer Tikka prepared with fresh ingredients and authentic flavors, served hygienically."
Starters (Veg),Hara Bhara Kebab,220,"Hara Bhara Kebab prepared with fresh ingredients and authentic flavors, served hygienically."
Starters (Veg),Veg Spring Roll,200,"Veg Spring Roll prepared with fresh ingredients and authentic flavors, served hygienically."
Starters (Veg),Crispy Corn,210,"Crispy Corn prepared with fresh ingredients and authentic flavors, served hygienically."
Starters (Veg),Chilli Paneer,260,"Chilli Paneer prepared with fresh ingredients and authentic flavors, served hygienically."
Starters (Veg),Aloo Tikki,150,"Aloo Tikki prepared with fresh ingredients and authentic flavors, served hygienically."
Starters (Veg),Cheese Balls,230,"Cheese Balls prepared with fresh ingredients and authentic flavors, served hygienically."
Starters (Veg),Veg Manchurian,240,"Veg Manchurian prepared with fresh ingredients and authentic flavors, served hygienically."
Starters (Non-Veg),Chicken Tikka,320,"Chicken Tikka prepared with fresh ingredients and authentic flavors, served hygienically."
Starters (Non-Veg),Chicken 65,300,"Chicken 65 prepared with fresh ingredients and authentic flavors, served hygienically."
Starters (Non-Veg),Chicken Lollipop,340,"Chicken Lollipop prepared with fresh ingredients and authentic flavors, served hygienically."
Starters (Non-Veg),Fish Fingers,360,"Fish Fingers prepared with fresh ingredients and authentic flavors, served hygienically."
Starters (Non-Veg),Mutton Seekh Kebab,380,"Mutton Seekh Kebab prepared with fresh ingredients and authentic flavors, served hygienically."
Starters (Non-Veg),Chilli Chicken,300,"Chilli Chicken prepared with fresh ingredients and authentic flavors, served hygienically."
Starters (Non-Veg),Pepper Chicken,320,"Pepper Chicken prepared with fresh ingredients and authentic flavors, served hygienically."
Starters (Non-Veg),Tandoori Chicken (Half),420,"Tandoori Chicken (Half) prepared with fresh ingredients and authentic flavors, served hygienically."
Quick Bites,Samosa (2 pcs),80,"Samosa (2 pcs) prepared with fresh ingredients and authentic flavors, served hygienically."
Quick Bites,Vada Pav,70,"Vada Pav prepared with fresh ingredients and authentic flavors, served hygienically."
Quick Bites,Pav Bhaji,180,"Pav Bhaji prepared with fresh ingredients and authentic flavors, served hygienically."
Quick Bites,Masala Fries,150,"Masala Fries prepared with fresh ingredients and authentic flavors, served hygienically."
Quick Bites,Cheese Fries,180,"Cheese Fries prepared with fresh ingredients and authentic flavors, served hygienically."
Quick Bites,Bread Pakora,120,"Bread Pakora prepared with fresh ingredients and authentic flavors, served hygienically."
Quick Bites,Veg Cutlet,110,"Veg Cutlet prepared with fresh ingredients and authentic flavors, served hygienically."
Quick Bites,Egg Puff,90,"Egg Puff prepared with fresh ingredients and authentic flavors, served hygienically."
Burgers & Sandwiches,Veg Burger,160,"Veg Burger prepared with fresh ingredients and authentic flavors, served hygienically."
Burgers & Sandwiches,Paneer Burger,190,"Paneer Burger prepared with fresh ingredients and authentic flavors, served hygienically."
Burgers & Sandwiches,Chicken Burger,220,"Chicken Burger prepared with fresh ingredients and authentic flavors, served hygienically."
Burgers & Sandwiches,Grilled Cheese Sandwich,150,"Grilled Cheese Sandwich prepared with fresh ingredients and authentic flavors, served hygienically."
Burgers & Sandwiches,Club Sandwich,210,"Club Sandwich prepared with fresh ingredients and authentic flavors, served hygienically."
Burgers & Sandwiches,Chicken Sandwich,200,"Chicken Sandwich prepared with fresh ingredients and authentic flavors, served hygienically."
Burgers & Sandwiches,Paneer Sandwich,180,"Paneer Sandwich prepared with fresh ingredients and authentic flavors, served hygienically."
Burgers & Sandwiches,Egg Sandwich,160,"Egg Sandwich prepared with fresh ingredients and authentic flavors, served hygienically."
Pizza,Margherita Pizza,260,"Margherita Pizza prepared with fresh ingredients and authentic flavors, served hygienically."
Pizza,Farmhouse Pizza,320,"Farmhouse Pizza prepared with fresh ingredients and authentic flavors, served hygienically."
Pizza,Veg Loaded Pizza,340,"Veg Loaded Pizza prepared with fresh ingredients and authentic flavors, served hygienically."
Pizza,Paneer Tikka Pizza,320,"Paneer Tikka Pizza prepared with fresh ingredients and authentic flavors, served hygienically."
Pizza,BBQ Chicken Pizza,360,"BBQ Chicken Pizza prepared with fresh ingredients and authentic flavors, served hygienically."
Pizza,Pepperoni Pizza,380,"Pepperoni Pizza prepared with fresh ingredients and authentic flavors, served hygienically."
Pizza,Cheese Burst Pizza,390,"Cheese Burst Pizza prepared with fresh ingredients and authentic flavors, served hygienically."
Pizza,Mexican Pizza,350,"Mexican Pizza prepared with fresh ingredients and authentic flavors, served hygienically."
Pasta & Noodles,White Sauce Pasta,260,"White Sauce Pasta prepared with fresh ingredients and authentic flavors, served hygienically."
Pasta & Noodles,Red Sauce Pasta,240,"Red Sauce Pasta prepared with fresh ingredients and authentic flavors, served hygienically."
Pasta & Noodles,Pink Sauce Pasta,280,"Pink Sauce Pasta prepared with fresh ingredients and authentic flavors, served hygienically."
Pasta & Noodles,Veg Hakka Noodles,220,"Veg Hakka Noodles prepared with fresh ingredients and authentic flavors, served hygienically."
Pasta & Noodles,Chicken Hakka Noodles,260,"Chicken Hakka Noodles prepared with fresh ingredients and authentic flavors, served hygienically."
Pasta & Noodles,Chilli Garlic Noodles,230,"Chilli Garlic Noodles prepared with fresh ingredients and authentic flavors, served hygienically."
Pasta & Noodles,Schezwan Noodles,240,"Schezwan Noodles prepared with fresh ingredients and authentic flavors, served hygienically."
Pasta & Noodles,Chicken Chowmein,270,"Chicken Chowmein prepared with fresh ingredients and authentic flavors, served hygienically."
Main Course (Veg),Paneer Butter Masala,300,"Paneer Butter Masala prepared with fresh ingredients and authentic flavors, served hygienically."
Main Course (Veg),Shahi Paneer,310,"Shahi Paneer prepared with fresh ingredients and authentic flavors, served hygienically."
Main Course (Veg),Kadai Paneer,290,"Kadai Paneer prepared with fresh ingredients and authentic flavors, served hygienically."
Main Course (Veg),Dal Makhani,260,"Dal Makhani prepared with fresh ingredients and authentic flavors, served hygienically."
Main Course (Veg),Dal Tadka,240,"Dal Tadka prepared with fresh ingredients and authentic flavors, served hygienically."
Main Course (Veg),Mix Veg,250,"Mix Veg prepared with fresh ingredients and authentic flavors, served hygienically."
Main Course (Veg),Chole Masala,240,"Chole Masala prepared with fresh ingredients and authentic flavors, served hygienically."
Main Course (Veg),Malai Kofta,320,"Malai Kofta prepared with fresh ingredients and authentic flavors, served hygienically."
Main Course (Non-Veg),Butter Chicken,340,"Butter Chicken prepared with fresh ingredients and authentic flavors, served hygienically."
Main Course (Non-Veg),Chicken Curry,300,"Chicken Curry prepared with fresh ingredients and authentic flavors, served hygienically."
Main Course (Non-Veg),Chicken Kadai,320,"Chicken Kadai prepared with fresh ingredients and authentic flavors, served hygienically."
Main Course (Non-Veg),Mutton Rogan Josh,380,"Mutton Rogan Josh prepared with fresh ingredients and authentic flavors, served hygienically."
Main Course (Non-Veg),Fish Curry,360,"Fish Curry prepared with fresh ingredients and authentic flavors, served hygienically."
Main Course (Non-Veg),Egg Curry,220,"Egg Curry prepared with fresh ingredients and authentic flavors, served hygienically."
Main Course (Non-Veg),Chicken Masala,330,"Chicken Masala prepared with fresh ingredients and authentic flavors, served hygienically."
Main Course (Non-Veg),Mutton Curry,390,"Mutton Curry prepared with fresh ingredients and authentic flavors, served hygienically."
Rice & Biryani,Steamed Rice,160,"Steamed Rice prepared with fresh ingredients and authentic flavors, served hygienically."
Rice & Biryani,Jeera Rice,190,"Jeera Rice prepared with fresh ingredients and authentic flavors, served hygienically."
Rice & Biryani,Veg Pulao,220,"Veg Pulao prepared with fresh ingredients and authentic flavors, served hygienically."
Rice & Biryani,Veg Biryani,260,"Veg Biryani prepared with fresh ingredients and authentic flavors, served hygienically."
Rice & Biryani,Chicken Biryani,320,"Chicken Biryani prepared with fresh ingredients and authentic flavors, served hygienically."
Rice & Biryani,Mutton Biryani,380,"Mutton Biryani prepared with fresh ingredients and authentic flavors, served hygienically."
Rice & Biryani,Egg Biryani,260,"Egg Biryani prepared with fresh ingredients and authentic flavors, served hygienically."
Rice & Biryani,Curd Rice,200,"Curd Rice prepared with fresh ingredients and authentic flavors, served hygienically."
Indian Breads,Tandoori Roti,40,"Tandoori Roti prepared with fresh ingredients and authentic flavors, served hygienically."
Indian Breads,Butter Roti,50,"Butter Roti prepared with fresh ingredients and authentic flavors, served hygienically."
Indian Breads,Plain Naan,60,"Plain Naan prepared with fresh ingredients and authentic flavors, served hygienically."
Indian Breads,Butter Naan,70,"Butter Naan prepared with fresh ingredients and authentic flavors, served hygienically."
Indian Breads,Garlic Naan,80,"Garlic Naan prepared with fresh ingredients and authentic flavors, served hygienically."
Indian Breads,Lachha Paratha,90,"Lachha Paratha prepared with fresh ingredients and authentic flavors, served hygienically."
Indian Breads,Stuffed Kulcha,100,"Stuffed Kulcha prepared with fresh ingredients and authentic flavors, served hygienically."
Indian Breads,Roomali Roti,60,"Roomali Roti prepared with fresh ingredients and authentic flavors, served hygienically."
Desserts,Gulab Jamun,120,"Gulab Jamun prepared with fresh ingredients and authentic flavors, served hygienically."
Desserts,Rasmalai,140,"Rasmalai prepared with fresh ingredients and authentic flavors, served hygienically."
Desserts,Gajar Halwa,160,"Gajar Halwa prepared with fresh ingredients and authentic flavors, served hygienically."
Desserts,Ice Cream Scoop,90,"Ice Cream Scoop prepared with fresh ingredients and authentic flavors, served hygienically."
Desserts,Brownie with Ice Cream,220,"Brownie with Ice Cream prepared with fresh ingredients and authentic flavors, served hygienically."
Desserts,Chocolate Lava Cake,240,"Chocolate Lava Cake prepared with fresh ingredients and authentic flavors, served hygienically."
Desserts,Cheesecake,260,"Cheesecake prepared with fresh ingredients and authentic flavors, served hygienically."
Desserts,Waffles,230,"Waffles prepared with fresh ingredients and authentic flavors, served hygienically."
Beverages,Masala Chai,60,"Masala Chai prepared with fresh ingredients and authentic flavors, served hygienically."
Beverages,Filter Coffee,80,"Filter Coffee prepared with fresh ingredients and authentic flavors, served hygienically."
Beverages,Cappuccino,160,"Cappuccino prepared with fresh ingredients and authentic flavors, served hygienically."
Beverages,Cold Coffee,180,"Cold Coffee prepared with fresh ingredients and authentic flavors, served hygienically."
Beverages,Oreo Milkshake,200,"Oreo Milkshake prepared with fresh ingredients and authentic flavors, served hygienically."
Beverages,Strawberry Milkshake,190,"Strawberry Milkshake prepared with fresh ingredients and authentic flavors, served hygienically."
Beverages,Fresh Lime Soda,120,"Fresh Lime Soda prepared with fresh ingredients and authentic flavors, served hygienically."
Beverages,Blue Lagoon Mocktail,220,"Blue Lagoon Mocktail prepared with fresh ingredients and authentic flavors, served hygienically."
Breakfast,Masala Omelette,140,"Egg omelette cooked with onions, green chilies, and Indian spices."
Breakfast,Poha,120,Light and healthy flattened rice cooked with onions and mild spices.
Breakfast,Idli Sambhar,140,Steamed rice cakes served with sambhar and coconut chutney.
Breakfast,Aloo Paratha,160,Stuffed wheat paratha served with butter and curd.
Healthy Options,Veg Salad Bowl,200,Fresh seasonal vegetables tossed with light dressing.
Healthy Options,Grilled Chicken Salad,260,Grilled chicken served with fresh greens and protein-rich dressing.
Soups,Tomato Soup,140,Classic tomato soup with mild spices and croutons.
Soups,Sweet Corn Soup,160,Sweet corn soup with vegetables and light seasoning.
